,0
0,935.0
1,1225.0
2,1045.0
3,1120.0
4,859.0
5,1421.0
6,1446.0
7,1027.0
8,1512.0
9,1224.0
10,1085.0
11,1474.0
12,1504.0
13,1269.0
14,1078.0
15,1205.0
16,1313.0
17,994.0
18,1065.0
19,1350.0
20,1248.0
21,1292.0
22,1221.0
23,1219.0
24,1130.0
25,1403.0
26,1271.0
27,1278.0
28,1155.0
29,1268.0
30,1006.0
31,1175.0
32,992.0
33,1054.0
34,984.0
35,1100.0
36,1231.0
37,1202.0
38,1102.0
39,1088.0
40,1077.0
41,1073.0
42,1229.0
43,1232.0
44,1266.0
45,727.0
46,1239.0
47,920.0
48,1123.0
49,1131.0
50,895.0
51,1156.0
52,1310.0
53,1271.0
54,1148.0
55,943.0
56,1140.0
57,1242.0
58,1099.0
59,1248.0
60,1057.0
61,1076.0
62,1312.0
63,1202.0
64,1237.0
65,1444.0
66,866.0
67,1097.0
68,1534.0
69,1194.0
70,1277.0
71,1238.0
72,1154.0
73,972.0
74,1123.0
75,1457.0
76,1121.0
77,1060.0
78,996.0
79,875.0
80,1334.0
81,1290.0
82,1061.0
83,1284.0
84,1122.0
85,1205.0
86,1123.0
87,941.0
88,1163.0
89,1345.0
90,930.0
91,1378.0
92,920.0
93,1308.0
94,1288.0
95,758.0
96,1247.0
97,951.0
98,993.0
99,1473.0
100,1239.0
101,1216.0
102,782.0
103,1225.0
104,1150.0
105,1256.0
106,1338.0
107,1140.0
108,1170.0
109,1468.0
110,1348.0
111,893.0
112,1266.0
113,1243.0
114,1209.0
115,1247.0
116,1109.0
117,979.0
118,1214.0
119,1308.0
120,1156.0
121,1106.0
122,1071.0
123,1315.0
124,1377.0
125,1562.0
126,872.0
127,1199.0
128,1414.0
129,1154.0
130,1010.0
131,1004.0
132,1093.0
133,895.0
134,1113.0
135,1151.0
136,1122.0
137,1244.0
138,1122.0
139,712.0
140,1223.0
141,1164.0
142,1268.0
143,1194.0
144,1395.0
145,785.0
146,995.0
147,1149.0
148,1281.0
149,1174.0
150,1065.0
151,1168.0
152,1184.0
153,1143.0
154,1024.0
155,1199.0
156,925.0
157,863.0
158,1347.0
159,1459.0
160,1260.0
161,1275.0
162,1483.0
163,811.0
164,1435.0
165,877.0
166,1158.0
167,1013.0
168,1101.0
169,1213.0
170,1129.0
171,1311.0
172,1374.0
173,1052.0
174,1325.0
175,1475.0
176,1315.0
177,1622.0
178,1023.0
179,1436.0
180,1067.0
181,1146.0
182,990.0
183,1412.0
184,975.0
185,1101.0
186,1435.0
187,1229.0
188,1279.0
189,1274.0
190,1119.0
191,979.0
192,1288.0
193,1283.0
194,1143.0
195,1137.0
196,1062.0
197,1215.0
198,1540.0
199,1210.0
200,1192.0
201,1107.0
202,1167.0
203,1371.0
204,1349.0
205,1014.0
206,1186.0
207,1298.0
208,1299.0
209,1325.0
210,1329.0
211,1202.0
212,1125.0
213,1216.0
214,783.0
215,1366.0
216,1292.0
217,1037.0
218,1122.0
219,950.0
220,1079.0
221,1037.0
222,1071.0
223,1203.0
224,997.0
225,1085.0
226,1096.0
227,1311.0
228,1202.0
229,1415.0
230,994.0
231,1263.0
232,1341.0
233,1280.0
234,1200.0
235,987.0
236,1083.0
237,1046.0
238,1421.0
239,1292.0
240,1110.0
241,1223.0
242,771.0
243,1156.0
244,1227.0
245,1069.0
246,1439.0
247,984.0
248,1134.0
249,1053.0
250,1246.0
251,1417.0
252,1159.0
253,1201.0
254,1315.0
255,1021.0
256,1284.0
257,1140.0
258,1108.0
259,1146.0
260,1116.0
261,1139.0
262,1760.0
263,1347.0
264,1124.0
265,1328.0
266,1230.0
267,861.0
268,1085.0
269,1240.0
270,1014.0
271,1053.0
272,1055.0
273,1142.0
274,1080.0
275,861.0
276,1130.0
277,1204.0
278,1267.0
279,1303.0
280,1203.0
281,1150.0
282,909.0
283,1381.0
284,1049.0
285,1170.0
286,1012.0
287,1427.0
288,1423.0
289,1019.0
290,1416.0
291,1336.0
292,991.0
293,1002.0
294,1089.0
295,919.0
296,1114.0
297,1354.0
298,923.0
299,1294.0
300,1082.0
301,1253.0
302,1282.0
303,1080.0
304,1348.0
305,909.0
306,1036.0
307,1070.0
308,1174.0
309,1231.0
310,1060.0
311,1509.0
312,1285.0
313,1296.0
314,987.0
315,1164.0
316,1183.0
317,1438.0
318,1171.0
319,1291.0
320,1104.0
321,1164.0
322,1165.0
323,1202.0
324,1403.0
325,1135.0
326,1081.0
327,894.0
328,1023.0
329,946.0
330,1294.0
331,1070.0
332,893.0
333,1150.0
334,1333.0
335,1246.0
336,1539.0
337,1305.0
338,1175.0
339,1047.0
340,1425.0
341,1297.0
342,1104.0
343,1037.0
344,1290.0
345,1553.0
346,1013.0
347,1209.0
348,1271.0
349,1393.0
350,1307.0
351,1174.0
352,1408.0
353,1195.0
354,1005.0
355,1164.0
356,1118.0
357,1172.0
358,1450.0
359,1013.0
360,1104.0
361,1297.0
362,1031.0
363,1078.0
364,1339.0
365,1176.0
366,1055.0
367,1111.0
368,1105.0
369,1411.0
370,1102.0
371,1237.0
372,1351.0
373,1351.0
374,1246.0
375,1217.0
376,1309.0
377,1228.0
378,1028.0
379,928.0
380,960.0
381,908.0
382,1232.0
383,1421.0
384,1161.0
385,1128.0
386,951.0
387,1291.0
388,1109.0
389,1068.0
390,882.0
391,1456.0
392,1162.0
393,1263.0
394,1327.0
395,909.0
396,1372.0
397,1404.0
398,1207.0
399,1310.0
400,1257.0
401,1022.0
402,1116.0
403,1304.0
404,1119.0
405,1421.0
406,1017.0
407,988.0
408,1415.0
409,1086.0
410,1063.0
411,1160.0
412,1481.0
413,788.0
414,1332.0
415,1092.0
416,994.0
417,1301.0
418,960.0
419,1133.0
420,1266.0
421,1067.0
422,1209.0
423,1130.0
424,1276.0
425,1038.0
426,1334.0
427,1251.0
428,1107.0
429,1015.0
430,1119.0
431,1302.0
432,967.0
433,1321.0
434,1440.0
435,1312.0
436,1032.0
437,1239.0
438,1082.0
439,1165.0
440,1239.0
441,1022.0
442,1366.0
443,1135.0
444,1133.0
445,937.0
446,1244.0
447,1092.0
448,1118.0
449,1124.0
450,970.0
451,1196.0
452,1460.0
453,1272.0
454,1089.0
455,965.0
456,1207.0
457,1521.0
458,925.0
459,1137.0
460,1182.0
461,1325.0
462,961.0
463,1353.0
464,1263.0
465,1242.0
466,1264.0
467,841.0
468,1188.0
469,1374.0
470,1352.0
471,1347.0
472,1287.0
473,770.0
474,1336.0
475,1375.0
476,1469.0
477,1201.0
478,1466.0
479,727.0
480,1191.0
481,1393.0
482,1105.0
483,1160.0
484,1173.0
485,942.0
486,1081.0
487,1241.0
488,1115.0
489,1299.0
490,1336.0
491,1136.0
492,1203.0
493,1154.0
494,1308.0
495,909.0
496,1287.0
497,1273.0
498,1329.0
499,1157.0
500,1720.0
501,1040.0
502,1384.0
503,1239.0
504,1136.0
505,1132.0
506,1053.0
507,1365.0
508,1042.0
509,951.0
510,1224.0
511,1002.0
512,1395.0
513,1210.0
514,1189.0
515,1128.0
516,977.0
517,1221.0
518,1323.0
519,1272.0
520,1259.0
521,1046.0
522,1150.0
523,954.0
524,1124.0
525,1221.0
526,993.0
527,1277.0
528,1165.0
529,972.0
530,1097.0
531,1312.0
532,1372.0
533,1362.0
534,1114.0
535,973.0
536,1044.0
537,855.0
538,1184.0
539,1227.0
540,652.0
541,1122.0
542,1109.0
543,917.0
544,890.0
545,1260.0
546,971.0
547,1408.0
548,1314.0
549,1202.0
550,1174.0
551,881.0
552,1117.0
553,1423.0
554,1300.0
555,1049.0
556,1214.0
557,775.0
558,1103.0
559,1439.0
560,1133.0
561,1299.0
562,1396.0
563,1286.0
564,1375.0
565,1227.0
566,1045.0
567,1272.0
568,1104.0
569,1392.0
570,900.0
571,1055.0
572,1344.0
573,829.0
574,1377.0
575,1405.0
576,1168.0
577,1099.0
578,1140.0
579,1380.0
580,1043.0
581,1107.0
582,848.0
583,1218.0
584,1093.0
585,1118.0
586,1426.0
587,1390.0
588,1158.0
589,1065.0
590,1073.0
591,1287.0
592,1510.0
593,732.0
594,983.0
595,1110.0
596,1112.0
597,1290.0
598,866.0
599,1270.0
600,980.0
601,1003.0
602,1251.0
603,1319.0
604,1281.0
605,1022.0
606,922.0
607,971.0
608,1373.0
609,1552.0
610,889.0
611,1185.0
612,975.0
613,1349.0
614,931.0
615,1310.0
616,1076.0
617,1067.0
618,1097.0
619,1084.0
620,1087.0
621,1195.0
622,1362.0
623,1182.0
624,1105.0
625,969.0
626,1080.0
627,1299.0
628,1082.0
629,1363.0
630,1263.0
631,1363.0
632,1208.0
633,1107.0
634,1250.0
635,1272.0
636,1406.0
637,1170.0
638,1465.0
639,1053.0
640,1170.0
641,1229.0
642,1158.0
643,1159.0
644,1300.0
645,1229.0
646,1072.0
647,1130.0
648,935.0
649,1309.0
650,1428.0
651,1592.0
652,945.0
653,1024.0
654,1048.0
655,1205.0
656,1162.0
657,1227.0
658,1079.0
659,1114.0
660,1372.0
661,1203.0
662,916.0
663,1178.0
664,1058.0
665,1167.0
666,1473.0
667,1077.0
668,1299.0
669,1127.0
670,1091.0
671,1192.0
672,1136.0
673,1286.0
674,1156.0
675,1150.0
676,1136.0
677,1281.0
678,1553.0
679,1399.0
680,1228.0
681,1196.0
682,1046.0
683,1170.0
684,1210.0
685,1145.0
686,1323.0
687,1514.0
688,1147.0
689,1086.0
690,1050.0
691,1288.0
692,1109.0
693,1190.0
694,1062.0
695,1049.0
696,1284.0
697,1214.0
698,1045.0
699,1384.0
700,1065.0
701,1306.0
702,983.0
703,1110.0
704,1355.0
705,1122.0
706,1203.0
707,1114.0
708,1029.0
709,809.0
710,1276.0
711,1213.0
712,1335.0
713,880.0
714,1243.0
715,874.0
716,1406.0
717,1402.0
718,1273.0
719,1358.0
720,1293.0
721,1121.0
722,1162.0
723,1225.0
724,1184.0
725,1055.0
726,1284.0
727,894.0
728,1037.0
729,1248.0
730,1230.0
731,1433.0
732,948.0
733,1208.0
734,897.0
735,981.0
736,1372.0
737,1042.0
738,1136.0
739,1245.0
740,1340.0
741,1089.0
742,1144.0
743,1294.0
744,1054.0
745,1037.0
746,1040.0
747,1454.0
748,1296.0
749,1296.0
750,1121.0
751,1159.0
752,1386.0
753,950.0
754,1164.0
755,1109.0
756,1287.0
757,1121.0
758,983.0
759,839.0
760,1399.0
761,1224.0
762,1329.0
763,1340.0
764,1245.0
765,1185.0
766,1198.0
767,1084.0
768,1265.0
769,1150.0
770,1172.0
771,1028.0
772,1234.0
773,1292.0
774,1483.0
775,1072.0
776,1151.0
777,1201.0
778,1319.0
779,1310.0
780,1076.0
781,948.0
782,1268.0
783,816.0
784,1082.0
785,1176.0
786,998.0
787,1109.0
788,1145.0
789,915.0
790,1036.0
791,951.0
792,1040.0
793,819.0
794,1290.0
795,853.0
796,1179.0
797,1335.0
798,1070.0
799,920.0
800,1513.0
801,1226.0
802,1284.0
803,1122.0
804,865.0
805,1126.0
806,1133.0
807,1168.0
808,1229.0
809,1039.0
810,1024.0
811,1372.0
812,1079.0
813,1258.0
814,1158.0
815,1256.0
816,979.0
817,1308.0
818,1189.0
819,1193.0
820,1178.0
821,1217.0
822,1360.0
823,1229.0
824,1103.0
825,1173.0
826,925.0
827,1240.0
828,1226.0
829,1212.0
830,1447.0
831,921.0
