team_name,seed,team_id
Gonzaga,1,1
Norfolk State,16,2
Oklahoma,8,3
Missouri,9,4
Creighton,5,5
UC-Santa Barbara,12,6
Virginia,4,7
Ohio,13,8
Southern California,6,9
Wichita State,11,10
Kansas,3,11
Eastern Washington,14,12
Oregon,7,13
Virginia Commonwealth,10,14
Iowa,2,15
Grand Canyon,15,16
Michigan,1,17
Texas Southern,16,18
Louisiana State,8,19
St. Bonaventure,9,20
Colorado,5,21
Georgetown,12,22
Florida State,4,23
North Carolina-Greensboro,13,24
Brigham Young,6,25
UCLA,11,26
Texas,3,27
Abilene Christian,14,28
Connecticut,7,29
Maryland,10,30
Alabama,2,31
Iona,15,32
Baylor,1,33
Hartford,16,34
North Carolina,8,35
Wisconsin,9,36
Villanova,5,37
Winthrop,12,38
Purdue,4,39
North Texas,13,40
Texas Tech,6,41
Utah State,11,42
Arkansas,3,43
Colgate,14,44
Florida State,7,45
Virginia Tech,10,46
Ohio State,2,47
Oral Roberts,15,48
Illinois,1,49
Drexel,16,50
Loyola (IL),8,51
Georgia Tech,9,52
Tennessee,5,53
Oregon State,12,54
Oklahoma State,4,55
Liberty,13,56
San Diego State,6,57
Syracuse,11,58
West Virginia,3,59
Morehead State,14,60
Clemson,7,61
Rutgers,10,62
Houston,2,63
Cleveland State,15,64
